  ID: 293, Cap: 26, Desirability: 0.171227006838, Enrollment: 26,
  ID: 294, Cap: 26, Desirability: 0.771750104487, Enrollment: 26,
  ID: 295, Cap: 20, Desirability: 0.519130940051, Enrollment: 20,
  ID: 296, Cap: 24, Desirability: 0.512668922414, Enrollment: 24,
  ID: 297, Cap: 29, Desirability: 0.00947287310533, Enrollment: 29,
  ID: 298, Cap: 12, Desirability: 0.989913892203, Enrollment: 12,
  ID: 299, Cap: 123, Desirability: 0.282041539414, Enrollment: 56,
  ID: 300, Cap: 95, Desirability: 0.691729501236, Enrollment: 60,
  ID: 301, Cap: 15, Desirability: 0.175209635549, Enrollment: 15,
  ID: 302, Cap: 20, Desirability: 0.683559956599, Enrollment: 20,
  ID: 303, Cap: 23, Desirability: 0.589116622688, Enrollment: 23,
  ID: 304, Cap: 20, Desirability: 0.756246262749, Enrollment: 20,
  ID: 305, Cap: 27, Desirability: 0.841850435169, Enrollment: 27,
  ID: 306, Cap: 152, Desirability: 0.215356511631, Enrollment: 68,
  ID: 307, Cap: 24, Desirability: 0.870274695001, Enrollment: 24,
  ID: 308, Cap: 19, Desirability: 0.111059294333, Enrollment: 19,
  ID: 309, Cap: 12, Desirability: 0.894346992052, Enrollment: 12,
  ID: 310, Cap: 18, Desirability: 0.0357005614942, Enrollment: 18,
  ID: 311, Cap: 30, Desirability: 0.00588046383074, Enrollment: 30,
  ID: 312, Cap: 16, Desirability: 0.286898398505, Enrollment: 16,
  ID: 313, Cap: 26, Desirability: 0.0637753097165, Enrollment: 26,
  ID: 314, Cap: 12, Desirability: 0.731281007401, Enrollment: 12,
  ID: 315, Cap: 23, Desirability: 0.440102737284, Enrollment: 23,
  ID: 316, Cap: 69, Desirability: 0.0243806439378, Enrollment: 66,
  ID: 317, Cap: 7, Desirability: 0.801830406702, Enrollment: 7,
  ID: 318, Cap: 10, Desirability: 0.0728791453392, Enrollment: 10,
  ID: 319, Cap: 29, Desirability: 0.422488654772, Enrollment: 29],
